setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
halueval_qwen3b,LEN,2.0,0.962309,8.877061575893305e-05,0.97,2000,1000,0.5
halueval_qwen3b,LEX+SINK,,0.980008,0.00024488409957,0.983,2000,1000,0.5
halueval_qwen3b,HIDDEN+0D,2120.0,0.99929,7.037044834303874e-05,0.999,2000,1000,0.5
halueval_qwen3b,LEX,,0.981107,0.000355518713369,0.977,2000,1000,0.5
halueval_qwen1.5b,LEN,2.0,0.96724,0.0002065935354479,0.976,1000,500,0.5
halueval_qwen1.5b,LEX+DEFL,,0.956452,0.0002259046013008,0.986,1000,500,0.5
halueval_qwen1.5b,LEX+0D,,0.97108,0.0003960336686023,0.986,1000,500,0.5
halueval_qwen1.5b,HIDDEN+0D,1592.0,0.99928,9.005677221743048e-05,1.0,1000,500,0.5
halueval_qwen1.5b,LOGPROB+0D,62.0,0.992504,0.0003796747145766,0.994,1000,500,0.5
halueval_qwen1.5b,NONTOPO+DEFL,2130.0,0.999292,0.0003827526035908,1.0,1000,500,0.5
halueval_qwen1.5b,NONTOPO+0D,2018.0,0.999484,7.744819056776344e-05,1.0,1000,500,0.5
halueval_qwen1.5b,NONTOPO,1962.0,0.999276,0.0003007605175033,1.0,1000,500,0.5
halueval_qwen1.5b,PH_SINK+PH_0DTOT,672.0,0.93062,0.0023886405245568,0.998,1000,500,0.5
halueval_qwen1.5b,SINK+1D,168.0,0.826188,0.0034795652346553,0.94,1000,500,0.5
halueval_qwen1.5b,SINK+ANS,224.0,0.970496,0.0021844207978826,0.99,1000,500,0.5
halueval_qwen1.5b,SINK+DEFL,224.0,0.871772,0.0028406052563181,0.962,1000,500,0.5
halueval_qwen1.5b,0D+1D,168.0,0.815404,0.0031950300294189,0.922,1000,500,0.5
halueval_qwen1.5b,0D+SINK,112.0,0.832044,0.001471334390575,0.924,1000,500,0.5
halueval_qwen1.5b,PH_ENT,336.0,0.932956,0.0011182144497168,0.996,1000,500,0.5
halueval_qwen1.5b,PH_SINK,336.0,0.922456,0.000672240697634,0.998,1000,500,0.5
halueval_qwen1.5b,LEX+SINK,,0.968172,0.0004946253352004,0.984,1000,500,0.5
halueval_qwen1.5b,PH_0D,672.0,0.948756,0.0026619952416686,0.974,1000,500,0.5
halueval_qwen1.5b,0D,56.0,0.789124,0.0014146522148178,0.918,1000,500,0.5
halueval_qwen1.5b,SINK,56.0,0.819896,0.0015498679513644,0.934,1000,500,0.5
halueval_qwen1.5b,1D,112.0,0.74708,0.0006188620381169,0.878,1000,500,0.5
halueval_qwen1.5b,DEFL,168.0,0.824588,0.0020954867904352,0.952,1000,500,0.5
halueval_qwen1.5b,ANS,168.0,0.96918,0.0009609014286364,0.983,1000,500,0.5
halueval_qwen1.5b,ROWSTAT,56.0,0.787712,0.0017067468731152,0.984,1000,500,0.5
halueval_qwen1.5b,PH_0DTOT,336.0,0.920772,0.000738808650614,0.996,1000,500,0.5
halueval_qwen1.5b,HIDDEN,1536.0,0.999192,5.666274496230325e-05,1.0,1000,500,0.5
halueval_qwen1.5b,LEX,,0.978928,0.0003633963248148,0.98,1000,500,0.5
halueval_qwen1.5b,LEGACY_MSTPROXY,28.0,0.71924,0.0002694455211891,0.976,1000,500,0.5
halueval_qwen1.5b,LLMCHECK,28.0,0.790932,0.0005249101510417,0.978,1000,500,0.5
halueval_qwen1.5b,LOOKBACK,336.0,0.996912,9.056857438794167e-05,0.996,1000,500,0.5
halueval_qwen1.5b,LOGPROB,6.0,0.993448,9.058820134113853e-05,0.992,1000,500,0.5
triviaqa_qwen3b,LOOKBACK,576.0,0.8614386629540145,0.0013246218342896,,2000,2000,0.5755
triviaqa_qwen3b,LLMCHECK,36.0,0.688415563257842,0.0011563883443578,,2000,2000,0.5755
triviaqa_qwen3b,LEGACY_MSTPROXY,36.0,0.6912839657019706,0.0032690505562648,,2000,2000,0.5755
triviaqa_qwen3b,LEX,,0.5956545186804325,0.0038702096900553,,2000,2000,0.5755
triviaqa_qwen3b,HIDDEN,2048.0,0.8414591091476762,0.0042023796308504,,2000,2000,0.5755
triviaqa_qwen3b,LOGPROB,6.0,0.8388363066274116,0.0001913502006825,,2000,2000,0.5755
triviaqa_qwen3b,DEFL,216.0,0.6838617313361967,0.0042734672916505,,2000,2000,0.5755
triviaqa_qwen3b,ANS,216.0,0.719238353702777,0.002037923331528,,2000,2000,0.5755
triviaqa_qwen3b,1D,144.0,0.601118093653391,0.0030796041488468,,2000,2000,0.5755
triviaqa_qwen3b,SINK,72.0,0.7167649578028631,0.0038002529386441,,2000,2000,0.5755
triviaqa_qwen3b,0D,72.0,0.7322080763488297,0.0037965252181915,,2000,2000,0.5755
triviaqa_qwen3b,PH_0D,1152.0,0.8067885865622049,0.0016947911414277,,2000,2000,0.5755
triviaqa_qwen3b,ROWSTAT,72.0,0.7235107690449949,0.0045851346288538,,2000,2000,0.5755
triviaqa_qwen3b,LEN,2.0,0.5693773734930142,0.0014239634691791,,2000,2000,0.5755
triviaqa_qwen3b,PH_0DTOT,576.0,0.8074097497029776,0.0012078702648902,,2000,2000,0.5755
triviaqa_qwen3b,PH_ENT,576.0,0.8097777423022332,0.0007039491544836,,2000,2000,0.5755
triviaqa_qwen3b,PH_SINK,576.0,0.819702025892372,0.0020919265320237,,2000,2000,0.5755
triviaqa_qwen3b,LEX+SINK,,0.7238617722695173,0.0004549574347984,,2000,2000,0.5755
triviaqa_qwen3b,LEX+0D,,0.7330154860985326,0.0010670192157005,,2000,2000,0.5755
triviaqa_qwen3b,HIDDEN+0D,2120.0,0.8433399952312681,0.0040230581358684,,2000,2000,0.5755
triviaqa_qwen3b,LOGPROB+0D,78.0,0.8431486319572574,0.0021605965155989,,2000,2000,0.5755
triviaqa_qwen3b,NONTOPO+DEFL,2954.0,0.8701676935813484,0.0028550841989151,,2000,2000,0.5755
triviaqa_qwen3b,NONTOPO+0D,2810.0,0.8703979435099708,0.0026959409158303,,2000,2000,0.5755
triviaqa_qwen3b,LEX+DEFL,,0.6902309560284037,0.0031047951815831,,2000,2000,0.5755
triviaqa_qwen3b,PH_SINK+PH_0DTOT,1152.0,0.8238076379529655,0.0016642932146354,,2000,2000,0.5755
triviaqa_qwen3b,SINK+1D,216.0,0.717550877559228,0.0034825486821902,,2000,2000,0.5755
triviaqa_qwen3b,SINK+ANS,288.0,0.752259263466295,0.0009519697434403,,2000,2000,0.5755
