setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
truthfulqa_smollm,PH_SINK,768.0,0.7197916370157411,0.0007926380570095,0.7747858017135862,1634,817,0.5
truthfulqa_smollm,PH_ENT,768.0,0.8340871534961625,0.0006504629608596,0.8408812729498164,1634,817,0.5
truthfulqa_smollm,DEFL,144.0,0.5935004172353402,0.0022903548445955,0.6499388004895961,1634,817,0.5
truthfulqa_smollm,PH_0D,1536.0,0.8000446449304782,0.0012415220809595,0.817625458996328,1634,817,0.5
truthfulqa_smollm,LOOKBACK,768.0,0.8628786391985486,0.0016977274614634,0.8641370869033048,1634,817,0.5
truthfulqa_smollm,ANS,144.0,0.6275908666659675,0.0040975596439704,0.6303549571603427,1634,817,0.5
truthfulqa_mistral,NONTOPO,5222.0,0.9585895797533742,0.0005865825886047,0.966952264381885,1634,817,0.5
truthfulqa_mistral,NONTOPO+0D,5286.0,0.9582959419555978,0.0006007770210732,0.966952264381885,1634,817,0.5
truthfulqa_mistral,NONTOPO+DEFL,5414.0,0.9589865900411844,0.000609984434243,0.9657282741738066,1634,817,0.5
truthfulqa_mistral,PH_SINK+PH_0DTOT,2048.0,0.90328080312934,0.0013301919679787,0.9363525091799264,1634,817,0.5
truthfulqa_mistral,HIDDEN+0D,4160.0,0.9556097553667552,0.0005446739066157,0.95593635250918,1634,817,0.5
truthfulqa_mistral,SINK,64.0,0.6845326290021259,0.0007793168681748,0.7552019583843329,1634,817,0.5
truthfulqa_mistral,0D,64.0,0.6844876844412418,0.0007706454818829,0.7552019583843329,1634,817,0.5
truthfulqa_mistral,LEN,2.0,0.5252550978368182,0.0001691297969542,0.5709914320685434,1634,817,0.5
truthfulqa_mistral,SINK+ANS,256.0,0.727217976625832,0.0022678056653212,0.762545899632803,1634,817,0.5
truthfulqa_mistral,SINK+DEFL,256.0,0.7395342844601185,0.0004330307306322,0.8004895960832313,1634,817,0.5
truthfulqa_mistral,SINK+1D,192.0,0.6845700828028627,0.0007531005591666,0.7576499388004896,1634,817,0.5
truthfulqa_mistral,LEX,,0.8202756899364634,0.0008218953608146,0.8280293757649939,1634,817,0.5
truthfulqa_mistral,LEGACY_MSTPROXY,32.0,0.6463312504026284,0.0009221092949402,0.7686658506731946,1634,817,0.5
truthfulqa_mistral,LLMCHECK,32.0,0.6524332236186664,0.0001581731352035,0.769889840881273,1634,817,0.5
truthfulqa_mistral,LOOKBACK,1024.0,0.9326640588833672,0.0007525201720333,0.944920440636475,1634,817,0.5
truthfulqa_mistral,PH_0D,2048.0,0.8930064765112234,0.0013350708117925,0.9082007343941249,1634,817,0.5
truthfulqa_mistral,PH_0DTOT,1024.0,0.8870273517616021,0.0020245617796383,0.9277845777233782,1634,817,0.5
truthfulqa_mistral,PH_SINK,1024.0,0.9025976458039008,0.0008890345459967,0.9375764993880048,1634,817,0.5
truthfulqa_mistral,PH_ENT,1024.0,0.8967338787605489,0.000968196517668,0.9290085679314566,1634,817,0.5
truthfulqa_mistral,0D+SINK,128.0,0.6850270191718515,0.0007365032129148,0.7539779681762546,1634,817,0.5
truthfulqa_mistral,0D+1D,192.0,0.6845506068264795,0.0007362529405758,0.7600979192166463,1634,817,0.5
truthfulqa_mistral,ROWSTAT,64.0,0.69424664676122,0.0008948574090643,0.8212974296205631,1634,817,0.5
truthfulqa_mistral,LEX+DEFL,,0.8234337944145896,0.00129539384331,0.8555691554467564,1634,817,0.5
truthfulqa_mistral,HIDDEN,4096.0,0.9555663089579004,0.0004572830773858,0.9571603427172584,1634,817,0.5
truthfulqa_mistral,LOGPROB,6.0,0.6408495121267916,0.0003943761713352,0.6523867809057528,1634,817,0.5
truthfulqa_mistral,LEX+SINK,,0.8333275904172204,0.0015197834887003,0.8592411260709915,1634,817,0.5
truthfulqa_mistral,LEX+0D,,0.8335238483330811,0.0013006795669651,0.8592411260709915,1634,817,0.5
truthfulqa_mistral,LOGPROB+0D,70.0,0.7223414917699018,0.0011775557546677,0.7747858017135862,1634,817,0.5
truthfulqa_mistral,1D,128.0,0.5006089987999802,1.4124712790665352e-06,0.4987760097919216,1634,817,0.5
truthfulqa_mistral,ANS,192.0,0.6773534844768977,0.0043166992408234,0.7037943696450428,1634,817,0.5
