setting,example,layer,head,ours,native,abs_diff
truthfulqa_mistral,0,10,27,0.4524147727272727,0.4524147727272727,0.0
truthfulqa_mistral,0,10,28,0.6659268465909091,0.6659268465909091,0.0
truthfulqa_mistral,0,10,29,0.2475142045454545,0.2475142045454545,0.0
truthfulqa_mistral,0,10,30,0.3536931818181818,0.3536931818181818,0.0
truthfulqa_mistral,0,10,31,0.2531960227272727,0.2531960227272727,0.0
truthfulqa_mistral,0,11,0,0.1381392045454545,0.1381392045454545,0.0
truthfulqa_mistral,0,11,1,0.0181107954545454,0.0181107954545454,0.0
truthfulqa_mistral,0,11,2,0.1356534090909091,0.1356534090909091,0.0
truthfulqa_mistral,0,11,3,0.0791903409090909,0.0791903409090909,0.0
truthfulqa_mistral,0,11,4,0.3448153409090909,0.3448153409090909,0.0
truthfulqa_mistral,0,11,5,0.5464311079545454,0.5464311079545454,0.0
truthfulqa_mistral,0,11,6,0.3611505681818182,0.3611505681818182,0.0
truthfulqa_mistral,0,11,7,0.39453125,0.39453125,0.0
truthfulqa_mistral,0,11,8,0.0539772727272727,0.0539772727272727,0.0
truthfulqa_mistral,0,11,9,0.3259943181818182,0.3259943181818182,0.0
