Dataset,Feature Set,Normalization,Classifier,Nested CV AUC,Mean AUC,Std AUC
TruthfulQA (Qwen2.5-3B),0D + 1D,residualized,lr_l1,0.696 ± 0.075,0.6955555555555556,0.07540507891333269
TruthfulQA (Qwen2.5-3B),1D Only,residualized,svm,0.536 ± 0.092,0.5355555555555556,0.09158683392359487
TruthfulQA (Qwen2.5-3B),0D + 1D,residualized,svm,0.695 ± 0.061,0.695111111111111,0.061139791249840494
TruthfulQA (Qwen2.5-3B),1D Only,residualized,rf,0.627 ± 0.063,0.6271111111111111,0.06255308856394613
TruthfulQA (Qwen2.5-3B),0D + 1D,residualized,rf,0.717 ± 0.071,0.7173333333333334,0.07103329075202505
TruthfulQA (Qwen2.5-3B),1D Only,residualized,xgb,0.644 ± 0.058,0.6442222222222221,0.05802043062896356
TruthfulQA (Qwen2.5-3B),0D + 1D,residualized,xgb,0.735 ± 0.064,0.735111111111111,0.06422798897600043
TruthfulQA (Qwen2.5-3B),1D Only,residualized,mlp,0.599 ± 0.107,0.5991111111111111,0.10682950533385684
TruthfulQA (Qwen2.5-3B),0D + 1D,residualized,mlp,0.694 ± 0.069,0.6942222222222222,0.06870369372067411
TruthfulQA (SmolLM-1.7B),0D Only,None,lr_l2,0.580 ± 0.029,0.57976,0.02911065784210312
TruthfulQA (SmolLM-1.7B),0D Only,None,lr_l1,0.580 ± 0.030,0.5797999999999999,0.030027853736156372
TruthfulQA (SmolLM-1.7B),0D Only,None,svm,0.579 ± 0.030,0.5788800000000001,0.029569064915888024
TruthfulQA (SmolLM-1.7B),0D Only,None,rf,0.544 ± 0.043,0.5439,0.04314674958788901
TruthfulQA (SmolLM-1.7B),0D Only,None,xgb,0.564 ± 0.035,0.5643400000000001,0.03509724205689103
TruthfulQA (SmolLM-1.7B),0D Only,None,mlp,0.587 ± 0.049,0.58684,0.04868065734971129
TruthfulQA (SmolLM-1.7B),1D Only,raw,lr_l2,0.531 ± 0.034,0.5305200000000001,0.03385642627330887
TruthfulQA (SmolLM-1.7B),0D + 1D,raw,lr_l2,0.583 ± 0.041,0.5828,0.041324472168437945
TruthfulQA (SmolLM-1.7B),1D Only,raw,lr_l1,0.534 ± 0.029,0.5339599999999999,0.029068993790635402
TruthfulQA (SmolLM-1.7B),0D + 1D,raw,lr_l1,0.582 ± 0.043,0.58248,0.0433603690021199
TruthfulQA (SmolLM-1.7B),1D Only,raw,svm,0.535 ± 0.031,0.5349600000000001,0.030864970435754483
TruthfulQA (SmolLM-1.7B),0D + 1D,raw,svm,0.583 ± 0.042,0.58328,0.04180097606515908
TruthfulQA (SmolLM-1.7B),1D Only,raw,rf,0.537 ± 0.043,0.53738,0.04259403244587206
TruthfulQA (SmolLM-1.7B),0D + 1D,raw,rf,0.563 ± 0.046,0.56276,0.045891768325049306
TruthfulQA (SmolLM-1.7B),1D Only,raw,xgb,0.554 ± 0.066,0.5545,0.06578165397738187
TruthfulQA (SmolLM-1.7B),0D + 1D,raw,xgb,0.563 ± 0.042,0.56334,0.04177090374890157
TruthfulQA (SmolLM-1.7B),1D Only,raw,mlp,0.536 ± 0.039,0.53608,0.03880383486203391
TruthfulQA (SmolLM-1.7B),0D + 1D,raw,mlp,0.560 ± 0.040,0.5602600000000001,0.04029054976045871
TruthfulQA (SmolLM-1.7B),1D Only,per_token,lr_l2,0.550 ± 0.046,0.5500399999999999,0.04587459427613503
TruthfulQA (SmolLM-1.7B),0D + 1D,per_token,lr_l2,0.589 ± 0.043,0.58912,0.0426591326681638
TruthfulQA (SmolLM-1.7B),1D Only,per_token,lr_l1,0.552 ± 0.043,0.55176,0.04314253585500046
TruthfulQA (SmolLM-1.7B),0D + 1D,per_token,lr_l1,0.591 ± 0.043,0.5906,0.04270690810630054
TruthfulQA (SmolLM-1.7B),1D Only,per_token,svm,0.549 ± 0.046,0.54936,0.045596385821685466
TruthfulQA (SmolLM-1.7B),0D + 1D,per_token,svm,0.590 ± 0.043,0.59028,0.042885913771307224
TruthfulQA (SmolLM-1.7B),1D Only,per_token,rf,0.511 ± 0.041,0.51104,0.04053727173848775
TruthfulQA (SmolLM-1.7B),0D + 1D,per_token,rf,0.549 ± 0.058,0.54904,0.05796300889360386
TruthfulQA (SmolLM-1.7B),1D Only,per_token,xgb,0.553 ± 0.047,0.5531200000000001,0.04650911308550189
TruthfulQA (SmolLM-1.7B),0D + 1D,per_token,xgb,0.577 ± 0.039,0.57664,0.03879771127270264
TruthfulQA (SmolLM-1.7B),1D Only,per_token,mlp,0.551 ± 0.043,0.55084,0.04261453273239073
TruthfulQA (SmolLM-1.7B),0D + 1D,per_token,mlp,0.557 ± 0.034,0.5567199999999999,0.03444963860478072
TruthfulQA (SmolLM-1.7B),1D Only,clique,lr_l2,0.548 ± 0.044,0.5475200000000001,0.044076224883717076
TruthfulQA (SmolLM-1.7B),0D + 1D,clique,lr_l2,0.592 ± 0.039,0.5918,0.039225807831069576
TruthfulQA (SmolLM-1.7B),1D Only,clique,lr_l1,0.547 ± 0.041,0.54682,0.04115671998592697
TruthfulQA (SmolLM-1.7B),0D + 1D,clique,lr_l1,0.592 ± 0.041,0.59164,0.04121492933391976
TruthfulQA (SmolLM-1.7B),1D Only,clique,svm,0.550 ± 0.045,0.54984,0.04512035460853563
TruthfulQA (SmolLM-1.7B),0D + 1D,clique,svm,0.594 ± 0.037,0.59376,0.037376013698627635
TruthfulQA (SmolLM-1.7B),1D Only,clique,rf,0.519 ± 0.057,0.51902,0.05657896782374169
TruthfulQA (SmolLM-1.7B),0D + 1D,clique,rf,0.544 ± 0.053,0.54364,0.053022168948469076
TruthfulQA (SmolLM-1.7B),1D Only,clique,xgb,0.510 ± 0.049,0.5102,0.049077571252049534
TruthfulQA (SmolLM-1.7B),0D + 1D,clique,xgb,0.555 ± 0.032,0.5554400000000002,0.031960450560028095
TruthfulQA (SmolLM-1.7B),1D Only,clique,mlp,0.563 ± 0.035,0.5631200000000001,0.03508426427901832
TruthfulQA (SmolLM-1.7B),0D + 1D,clique,mlp,0.545 ± 0.035,0.54524,0.03525425364406399
TruthfulQA (SmolLM-1.7B),1D Only,log,lr_l2,0.551 ± 0.048,0.55072,0.047820765364013154
TruthfulQA (SmolLM-1.7B),0D + 1D,log,lr_l2,0.583 ± 0.044,0.58324,0.04380336060167074
TruthfulQA (SmolLM-1.7B),1D Only,log,lr_l1,0.550 ± 0.044,0.5496000000000001,0.04383952554487788
TruthfulQA (SmolLM-1.7B),0D + 1D,log,lr_l1,0.582 ± 0.046,0.5817599999999998,0.04587049596418161
TruthfulQA (SmolLM-1.7B),1D Only,log,svm,0.550 ± 0.047,0.55008,0.04691244610974789
TruthfulQA (SmolLM-1.7B),0D + 1D,log,svm,0.585 ± 0.043,0.58528,0.043344499074276996
TruthfulQA (SmolLM-1.7B),1D Only,log,rf,0.530 ± 0.049,0.5302800000000001,0.04906136565567658
TruthfulQA (SmolLM-1.7B),0D + 1D,log,rf,0.545 ± 0.046,0.54518,0.045974553831440286
TruthfulQA (SmolLM-1.7B),1D Only,log,xgb,0.529 ± 0.041,0.52918,0.04126135722440552
TruthfulQA (SmolLM-1.7B),0D + 1D,log,xgb,0.542 ± 0.053,0.5418200000000001,0.052836536601105884
TruthfulQA (SmolLM-1.7B),1D Only,log,mlp,0.552 ± 0.040,0.5517199999999999,0.03971641474252176
TruthfulQA (SmolLM-1.7B),0D + 1D,log,mlp,0.566 ± 0.035,0.5656,0.03544144466581463
TruthfulQA (SmolLM-1.7B),1D Only,rank,lr_l2,0.529 ± 0.018,0.529,0.01777211298636154
TruthfulQA (SmolLM-1.7B),0D + 1D,rank,lr_l2,0.595 ± 0.038,0.5949199999999999,0.03840918640117231
TruthfulQA (SmolLM-1.7B),1D Only,rank,lr_l1,0.529 ± 0.019,0.52852,0.019162505055446172
TruthfulQA (SmolLM-1.7B),0D + 1D,rank,lr_l1,0.596 ± 0.041,0.5962799999999999,0.04084861809168092
TruthfulQA (SmolLM-1.7B),1D Only,rank,svm,0.530 ± 0.018,0.52976,0.018180605050437674
TruthfulQA (SmolLM-1.7B),0D + 1D,rank,svm,0.595 ± 0.038,0.5948399999999999,0.037825472898564035
TruthfulQA (SmolLM-1.7B),1D Only,rank,rf,0.537 ± 0.043,0.5373000000000001,0.042851394376379415
TruthfulQA (SmolLM-1.7B),0D + 1D,rank,rf,0.564 ± 0.047,0.5637999999999999,0.04724472457322614
TruthfulQA (SmolLM-1.7B),1D Only,rank,xgb,0.554 ± 0.066,0.5545,0.06578165397738187
TruthfulQA (SmolLM-1.7B),0D + 1D,rank,xgb,0.563 ± 0.042,0.56334,0.04177090374890157
TruthfulQA (SmolLM-1.7B),1D Only,rank,mlp,0.539 ± 0.019,0.5388,0.018844627881706752
TruthfulQA (SmolLM-1.7B),0D + 1D,rank,mlp,0.590 ± 0.027,0.59032,0.02686308991906927
TruthfulQA (SmolLM-1.7B),1D Only,residualized,lr_l2,0.542 ± 0.047,0.5424800000000001,0.04716127224747015
TruthfulQA (SmolLM-1.7B),0D + 1D,residualized,lr_l2,0.583 ± 0.042,0.58252,0.04184621368774005
